Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
21,Marvin Bagley III,PF,22,SAC,9,0,17.8,2.4,4.9,.500,0.4,1.7,.267,2.0,3.2,.621,.545,1.2,1.8,.688,1.6,4.3,5.9,0.7,0.1,0.1,0.8,1.0,6.6,160,14.0,.578,.341,.364,9.2,25.5,17.4,5.4,0.3,0.5,12.1,15.4,,0.2,0.1,0.3,.101,,-0.4,-1.5,-1.9,0.0
22,LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,.418,2.9,7.5,.391,4.3,9.9,.439,.502,2.6,2.9,.900,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0,799,21.1,.538,.430,.168,4.7,20.1,12.2,37.5,2.7,1.2,14.9,27.7,,1.5,0.7,2.1,.129,,3.7,0.1,3.8,1.2
23,Lonzo Ball,PG,24,CHI,24,24,35.0,4.5,10.9,.410,3.0,7.0,.423,1.5,3.9,.387,.546,0.3,0.3,.750,0.8,4.5,5.3,5.0,1.8,0.9,2.3,2.5,12.1,839,13.4,.550,.644,.031,2.6,14.0,8.4,19.5,2.4,2.3,17.5,16.8,,0.4,1.2,1.7,.096,,0.5,0.7,1.2,0.7
24,Mo Bamba,C,23,ORL,23,23,29.8,4.3,9.4,.461,1.4,4.1,.337,3.0,5.3,.557,.535,0.8,1.1,.720,2.3,6.8,9.1,1.8,0.9,2.2,1.4,2.8,10.9,686,16.3,.548,.438,.115,8.3,24.0,16.1,9.8,1.4,6.9,12.6,16.3,,0.6,0.9,1.5,.105,,0.1,0.4,0.5,0.4
25,Desmond Bane,SF,23,MEM,23,23,28.7,6.1,12.9,.475,2.6,6.4,.401,3.6,6.5,.547,.574,1.1,1.2,.893,0.6,3.7,4.3,2.0,0.8,0.4,1.6,2.4,15.9,659,15.8,.592,.495,.094,2.1,13.8,7.9,10.6,1.4,1.2,10.4,22.0,,1.0,0.2,1.3,.092,,1.3,-2.2,-0.9,0.2
26,Dalano Banton,SF,22,TOR,24,0,13.1,1.8,3.7,.477,0.3,0.8,.333,1.5,2.9,.514,.511,0.8,1.0,.750,0.7,1.8,2.4,1.7,0.4,0.2,1.1,1.5,4.5,315,12.4,.548,.205,.273,5.2,15.4,10.0,18.4,1.6,1.6,20.9,17.0,,0.2,0.2,0.4,.064,,-2.1,-0.1,-2.2,0.0
27,Harrison Barnes,PF,29,SAC,19,19,35.0,5.8,12.1,.478,1.9,4.9,.398,3.8,7.2,.533,.559,5.5,6.5,.846,1.4,5.8,7.2,2.4,1.0,0.2,2.1,1.4,19.0,665,18.6,.635,.404,.535,4.1,17.3,10.7,10.4,1.4,0.4,12.1,20.6,,1.7,0.4,2.1,.155,,3.2,-1.2,2.0,0.7
28,Scottie Barnes,PF,20,TOR,22,22,35.6,6.1,12.5,.489,0.7,1.9,.357,5.5,10.6,.513,.516,2.1,3.0,.723,2.9,5.2,8.0,3.2,1.2,0.8,2.0,2.8,15.1,784,16.7,.545,.152,.236,8.3,16.8,12.3,13.9,1.7,2.1,12.9,19.1,,1.2,0.7,1.8,.113,,0.4,-0.3,0.0,0.4
29,RJ Barrett,SF,21,NYK,22,22,31.0,5.1,13.0,.396,1.6,5.1,.310,3.5,7.8,.453,.458,2.1,3.0,.701,0.6,5.2,5.8,2.1,0.4,0.3,1.7,2.0,14.0,681,10.7,.490,.396,.235,2.2,17.8,10.0,10.7,0.7,1.0,10.5,22.6,,-0.2,0.4,0.2,.014,,-2.3,-2.1,-4.3,-0.4
30,Will Barton,SG,31,DEN,20,20,33.3,6.2,13.7,.449,2.5,6.5,.385,3.7,7.2,.507,.540,1.1,1.6,.710,0.6,4.7,5.3,4.3,0.9,0.4,1.7,1.3,15.9,666,16.1,.553,.474,.113,2.0,15.7,8.9,20.1,1.4,1.1,10.6,21.8,,0.8,0.6,1.4,.101,,1.7,-0.5,1.2,0.5
31,Charles Bassey,PF,21,PHI,10,0,8.1,1.2,1.8,.667,0.0,0.3,.000,1.2,1.5,.800,.667,0.5,0.7,.714,1.0,1.9,2.9,0.2,0.1,0.7,0.3,1.1,2.9,81,20.4,.688,.167,.389,13.4,25.7,19.5,3.7,0.6,7.8,12.5,13.4,,0.2,0.1,0.4,.213,,0.8,0.8,1.6,0.1
32,Keita Bates-Diop,SF,26,SAS,16,4,13.8,1.3,2.9,.457,0.1,0.7,.091,1.3,2.2,.571,.467,0.4,0.5,.750,0.6,2.6,3.2,0.3,0.4,0.4,0.8,0.6,3.1,220,7.9,.495,.239,.174,4.7,19.9,12.2,2.8,1.3,2.4,19.5,12.0,,-0.2,0.3,0.1,.022,,-5.1,-0.8,-5.9,-0.2
33,Nicolas Batum,PF,33,LAC,14,13,27.6,3.6,6.9,.521,2.3,5.2,.438,1.3,1.6,.783,.688,0.4,0.7,.500,0.5,5.0,5.5,1.5,1.1,0.8,0.8,1.2,9.8,386,15.6,.682,.760,.104,2.0,18.7,10.5,8.0,2.0,2.5,9.9,12.6,,0.7,0.7,1.3,.166,,1.6,2.2,3.7,0.6
34,Kent Bazemore,SF,32,LAL,17,13,20.4,1.6,4.8,.333,0.8,2.5,.302,0.8,2.2,.368,.414,0.6,0.8,.769,0.2,1.8,2.1,0.9,0.9,0.3,0.5,2.5,4.5,347,5.6,.444,.531,.160,1.2,9.3,5.3,5.6,2.2,1.3,8.4,11.6,,-0.2,0.3,0.1,.021,,-5.6,-0.4,-6.0,-0.3
