,Team,Season,eFG%,TOV%,ORB%,FTr,Opp eFG%,Opp TOV%,DRB%,Opp FTr,W,L,Outcome
114,Miami Heat,2016,50.8,13.3,23.8,21.0,48.5,12.1,77.8,19.6,48,34,1
115,New York Knicks,2016,48.3,12.6,23.7,20.5,48.699999999999996,10.5,75.8,20.4,32,50,-1
116,Detroit Pistons,2016,49.1,12.2,27.0,19.7,50.4,12.5,79.3,19.6,44,38,0
117,Oklahoma City Thunder,2016,52.400000000000006,14.0,31.1,22.8,48.4,11.7,76.0,20.5,55,27,2
118,Orlando Magic,2016,50.0,12.8,23.1,17.5,51.300000000000004,13.8,76.5,21.5,35,47,-1
119,Cleveland Cavaliers,2016,52.400000000000006,12.7,25.1,19.400000000000002,49.6,12.6,78.5,20.5,57,25,4
120,Milwaukee Bucks,2015,49.9,15.5,25.4,19.5,48.699999999999996,15.9,73.3,22.1,41,41,0
121,Brooklyn Nets,2015,49.1,13.0,23.9,20.0,50.6,12.9,73.7,18.5,38,44,0
122,Washington Wizards,2015,49.9,14.0,24.9,19.2,48.1,12.9,77.3,21.0,46,36,1
123,Utah Jazz,2015,49.4,14.6,29.1,21.4,49.1,12.8,76.3,19.900000000000002,38,44,-1
124,Portland Trail Blazers,2015,50.8,12.6,24.2,18.0,47.599999999999994,11.3,76.2,18.2,51,31,0
125,Phoenix Suns,2015,50.1,13.7,24.5,19.1,49.7,14.0,73.5,22.1,39,43,-1
126,Indiana Pacers,2015,48.4,13.1,24.0,20.1,47.8,12.0,77.9,21.7,38,44,-1
127,Denver Nuggets,2015,47.9,12.7,26.6,20.4,50.4,13.0,74.7,23.9,30,52,-1
128,New Orleans Pelicans,2015,50.1,12.5,27.1,19.8,49.6,11.7,75.1,19.5,45,37,0
129,Los Angeles Clippers,2015,53.300000000000004,11.6,22.8,21.5,49.3,13.2,75.7,23.1,56,26,1
130,Atlanta Hawks,2015,52.7,13.5,21.4,20.1,49.2,14.9,73.4,18.5,60,22,2
131,Sacramento Kings,2015,49.0,14.8,26.5,27.6,50.7,11.8,75.2,20.0,29,53,-1
132,Golden State Warriors,2015,54.0,13.1,24.1,18.4,47.0,14.3,74.5,21.7,67,15,4
133,Philadelphia 76ers,2015,45.9,16.0,25.5,19.5,49.7,15.2,73.0,22.5,18,64,-1
134,Memphis Grizzlies,2015,48.9,12.6,24.7,21.4,49.2,14.5,75.3,18.3,55,27,1
135,Boston Celtics,2015,48.9,12.5,24.7,17.599999999999998,49.4,13.7,75.0,20.8,40,42,0
136,Dallas Mavericks,2015,51.5,11.9,23.6,19.7,50.3,14.7,72.2,20.4,50,32,0
137,Minnesota Timberwolves,2015,46.800000000000004,13.7,26.6,24.0,53.7,13.9,71.6,18.7,16,66,-1
138,Toronto Raptors,2015,50.8,12.0,25.6,23.200000000000003,50.6,13.4,73.3,20.8,49,33,0
139,San Antonio Spurs,2015,51.7,13.1,23.4,20.0,48.4,13.3,77.3,19.0,55,27,0
140,Chicago Bulls,2015,48.9,12.9,27.0,23.799999999999997,47.3,11.3,74.4,18.2,50,32,1
141,Los Angeles Lakers,2015,47.3,12.1,25.4,20.4,51.800000000000004,12.1,76.3,23.1,21,61,-1
142,Charlotte Hornets,2015,45.6,11.2,22.1,20.200000000000003,48.699999999999996,12.0,79.3,18.8,33,49,-1
143,Houston Rockets,2015,51.2,15.0,26.8,22.3,48.6,14.6,72.9,20.8,56,26,2
144,Miami Heat,2015,50.0,14.5,23.2,22.7,50.5,14.2,73.4,21.3,37,45,-1
145,New York Knicks,2015,47.0,14.0,24.5,18.0,51.2,13.3,73.1,23.400000000000002,17,65,-1
146,Detroit Pistons,2015,48.199999999999996,12.3,27.7,18.4,50.2,13.2,75.0,19.2,32,50,-1
147,Oklahoma City Thunder,2015,49.2,13.1,28.9,21.4,48.9,12.4,75.6,21.3,45,37,-1
148,Orlando Magic,2015,49.4,14.0,23.1,16.8,51.4,13.6,76.0,21.0,25,57,-1
