,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
346,347,Theo Ratliff,C,37,LAL,10,0,7.1,0.1,0.6,.167,0.0,0.0,,0.1,0.6,.167,.167,0.0,0.2,.000,0.6,0.7,1.3,0.3,0.2,0.5,0.3,0.7,0.2,71,4.4,.145,.000,.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,,-0.1,0.1,0.0,.000,,-4.9,1.4,-3.5,0.0
347,348,Andy Rautins,SG,24,NYK,5,0,4.8,0.6,1.4,.429,0.2,0.8,.250,0.4,0.6,.667,.500,0.2,0.4,.500,0.0,0.2,0.2,0.6,0.2,0.0,1.4,0.0,1.6,24,-1.2,.508,.571,.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,,-0.2,0.0,-0.2,-0.314,,-8.0,-5.2,-13.2,-0.1
348,349,Michael Redd,SG,31,MIL,10,0,13.4,1.8,4.5,.400,0.4,1.7,.235,1.4,2.8,.500,.444,0.4,0.4,1.000,0.0,0.8,0.8,1.2,0.2,0.1,0.4,0.4,4.4,134,9.7,.470,.378,.089,0.0,7.1,3.5,15.6,0.8,0.6,7.9,17.7,,0.0,0.1,0.1,.048,,-2.6,-1.4,-4.0,-0.1
349,350,JJ Redick,SG,26,ORL,59,5,25.6,3.3,7.6,.441,1.5,3.7,.397,1.9,3.9,.482,.538,1.9,2.2,.875,0.1,1.8,1.9,1.7,0.5,0.1,0.9,1.4,10.1,1513,12.8,.589,.490,.286,0.5,8.1,4.4,11.0,1.0,0.2,9.5,17.0,,2.7,1.8,4.5,.142,,0.4,0.7,1.1,1.2
350,351,Jason Richardson,SG,30,TOT,80,80,33.875,5.95,13.25,0.45,2.375,5.975,0.4,3.525,7.25,0.49,0.53,1.475,2.025,0.73,0.825,3.3,4.125,1.8,1.175,0.175,1.2,2.0,15.675,1837.25,15.125,0.55,0.457,0.149,2.98,11.1,7.12,9.12,1.77,0.38,7.83,20.83,,2.325,2.375,4.7,0.122,,1.3,0.425,1.65,1.65
351,352,Quentin Richardson,SF,30,ORL,57,19,16.8,1.5,4.5,.341,0.7,2.6,.288,0.8,1.9,.413,.424,0.6,0.8,.750,0.7,2.4,3.1,0.7,0.4,0.1,0.6,1.3,4.4,955,8.1,.454,.573,.173,4.9,16.6,10.9,6.1,1.4,0.4,10.7,14.9,,-0.2,1.5,1.3,.067,,-2.4,0.9,-1.5,0.1
352,353,Luke Ridnour,PG,29,MIN,71,66,30.4,4.5,9.6,.468,1.1,2.6,.440,3.4,7.0,.479,.528,1.7,1.9,.883,0.5,2.3,2.8,5.4,1.3,0.1,2.2,2.1,11.8,2159,15.0,.567,.270,.201,1.9,8.6,5.1,28.1,2.1,0.4,17.6,17.8,,3.2,0.8,4.0,.089,,0.7,-0.7,0.0,1.1
353,354,Nate Robinson,PG,26,TOT,59,11,12.525,1.8,5.15,0.33,0.8,2.725,0.29,0.975,2.425,0.39,0.41,0.7,0.85,0.78,0.15,0.8,0.925,1.7,0.25,0.05,0.85,1.95,5.125,514.0,6.7,0.45,0.532,0.191,0.97,6.22,3.77,24.6,0.78,0.15,12.72,25.1,,-0.175,0.75,0.55,-0.006,,-5.1,-2.575,-7.675,-0.125
354,355,Rajon Rondo,PG,24,BOS,68,68,37.2,4.7,9.9,.475,0.1,0.6,.233,4.5,9.2,.491,.482,1.1,1.9,.568,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,10.6,2527,17.1,.495,.064,.197,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,,1.8,4.8,6.6,.126,,1.6,1.4,3.1,3.2
355,356,Derrick Rose,PG,22,CHI,81,81,37.4,8.8,19.7,.445,1.6,4.8,.332,7.2,15.0,.481,.485,5.9,6.9,.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,3026,23.5,.550,.241,.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,.208,,6.3,0.5,6.8,6.7
